ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9385964912280702,0.9467592592592593,0.9577464788732394,0.9444444444444444,0.951048951048951,0.868859654660177
KNN,0.9736842105263158,0.9884259259259259,0.96,1.0,0.9795918367346939,0.9441549509633318
Naive Bayes,0.9385964912280702,0.9877645502645502,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8675534786006366
Random Forest,0.9473684210526315,0.9937169312169312,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8869047619047619
Support Vector Machine,0.9824561403508771,0.9966931216931216,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
